t,samples,r_2.5um,mgm3_2.5um,pcs_2.5um,r_1um,mgm3_1um,pcs_1um,timestamp
5.18,11,3.99,0.37,2491.61,14.54,1.78,9086.6,2024-12-17 21:38:15
5.65,6,0.54,0.03,340.19,13.2,1.57,8252.53,2024-12-17 21:38:21
5.22,7,6.34,0.63,3961.17,2.71,0.24,1692.95,2024-12-17 21:38:27
5.31,7,0.51,0.03,316.33,1.86,0.16,1165.48,2024-12-17 21:38:32
5.43,7,3.62,0.33,2263.46,1.44,0.12,900.31,2024-12-17 21:38:37
5.07,6,2.32,0.2,1447.91,11.05,1.25,6908.6,2024-12-17 21:38:43
5.23,7,4.16,0.39,2597.11,9.44,1.03,5898.29,2024-12-17 21:38:48
5.81,7,3.56,0.32,2223.57,10.65,1.19,6653.2,2024-12-17 21:38:54
5.19,7,3.23,0.29,2020.0,6.68,0.68,4176.96,2024-12-17 21:38:59
6.04,8,2.36,0.2,1478.08,2.97,0.26,1856.25,2024-12-17 21:39:05
5.49,6,0.04,0.0,22.5,1.51,0.12,945.94,2024-12-17 21:39:11
5.35,11,3.27,0.29,2041.18,13.99,1.69,8745.35,2024-12-17 21:39:16
5.27,10,7.48,0.77,4678.09,26.15,4.0,12500.0,2024-12-17 21:39:22
5.58,7,5.93,0.59,3707.42,11.24,1.28,7027.71,2024-12-17 21:39:27
5.09,8,8.23,0.87,5142.61,7.81,0.81,4881.06,2024-12-17 21:39:33
5.39,7,3.82,0.35,2389.36,13.35,1.59,8346.42,2024-12-17 21:39:38
5.2,8,2.89,0.26,1804.21,10.09,1.12,6307.66,2024-12-17 21:39:43
5.38,9,2.24,0.19,1398.25,2.51,0.22,1566.8,2024-12-17 21:39:49
5.09,7,1.19,0.09,744.01,2.47,0.21,1543.05,2024-12-17 21:39:54
5.69,8,0.34,0.02,210.1,2.71,0.24,1696.15,2024-12-17 21:40:00
5.67,8,0.68,0.05,427.23,1.88,0.16,1175.9,2024-12-17 21:40:05
5.38,7,0.43,0.02,269.64,9.03,0.97,5644.47,2024-12-17 21:40:11
5.52,8,2.02,0.17,1262.3,6.21,0.62,3882.86,2024-12-17 21:40:17
5.35,6,0.08,0.0,52.19,1.83,0.15,1142.5,2024-12-17 21:40:22
5.7,7,0.24,0.01,149.6,2.29,0.2,1432.96,2024-12-17 21:40:28
5.11,7,0.24,0.01,147.24,1.97,0.17,1233.98,2024-12-17 21:40:33
5.74,7,0.34,0.02,213.8,2.19,0.19,1367.07,2024-12-17 21:40:39
5.55,9,4.44,0.42,2773.15,1.89,0.16,1181.74,2024-12-17 21:40:44
5.53,10,7.32,0.75,4571.96,2.09,0.18,1303.67,2024-12-17 21:40:50
5.01,8,5.44,0.53,3401.15,2.23,0.19,1396.67,2024-12-17 21:40:55
5.16,7,5.54,0.54,3465.0,1.18,0.09,740.29,2024-12-17 21:41:00
5.21,6,4.21,0.39,2631.66,8.6,0.92,5373.06,2024-12-17 21:41:06
5.71,8,9.22,1.0,5761.95,2.71,0.24,1694.06,2024-12-17 21:41:12
5.57,7,2.97,0.26,1857.32,2.13,0.18,1330.15,2024-12-17 21:41:17
5.5,7,5.29,0.51,3306.0,0.7,0.05,438.39,2024-12-17 21:41:23
5.13,6,0.0,0.0,0.0,2.12,0.18,1324.64,2024-12-17 21:41:28
6.0,8,3.49,0.32,2183.85,9.98,1.1,6238.91,2024-12-17 21:41:34
5.19,7,1.66,0.14,1036.21,3.66,0.34,2289.19,2024-12-17 21:41:39
5.27,7,5.3,0.51,3315.19,4.19,0.39,2619.09,2024-12-17 21:41:45
5.17,7,2.39,0.21,1493.51,9.6,1.05,5999.79,2024-12-17 21:41:50
