t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
5.89,9,2.27,0.19,1418.16,1.53,0.12,957.2
11.13,5,0.22,0.01,136.93,0.0,0.0,0.0
16.3,6,0.61,0.04,379.84,0.56,0.04,348.13
21.86,5,0.37,0.02,228.34,0.0,0.0,0.0
27.33,8,0.98,0.07,615.06,34.92,6.14,12500.0
32.9,9,1.89,0.16,1182.32,16.22,2.06,10135.95
37.98,8,2.12,0.18,1323.5,0.83,0.06,517.96
43.43,8,3.85,0.36,2405.31,3.78,0.35,2363.25
49.0,6,1.1,0.08,689.66,2.35,0.2,1466.41
54.69,7,1.36,0.11,848.6,0.0,0.0,0.0
60.3,8,2.67,0.23,1668.18,1.07,0.08,670.36
65.41,7,3.03,0.27,1893.34,3.55,0.32,2220.09
71.13,8,2.36,0.2,1476.55,1.72,0.14,1078.01
76.47,7,2.26,0.19,1412.47,0.28,0.01,172.5
82.29,7,0.7,0.05,437.34,4.68,0.45,2925.81
87.6,6,3.44,0.31,2152.16,10.66,1.2,6665.58
93.52,7,4.57,0.43,2859.01,20.7,2.87,12500.0
98.61,7,5.75,0.57,3594.11,9.71,1.06,6070.76
103.68,6,2.59,0.23,1615.7,0.67,0.05,418.24
109.31,7,3.38,0.31,2110.49,4.88,0.47,3047.85
114.49,12,2.17,0.18,1355.65,25.24,3.8,12500.0
119.84,8,3.24,0.29,2025.34,4.51,0.43,2821.87
125.27,6,1.68,0.14,1050.95,0.81,0.06,506.3
130.59,7,2.91,0.26,1818.84,10.22,1.13,6388.87
136.53,5,0.36,0.02,225.01,0.0,0.0,0.0
141.64,5,0.36,0.02,224.85,0.61,0.04,378.76
146.73,5,0.42,0.02,259.41,0.21,0.0,131.11
152.53,5,0.38,0.02,237.48,0.0,0.0,0.0
157.68,4,0.13,0.0,81.15,0.0,0.0,0.0
163.3,5,0.4,0.02,248.16,0.35,0.02,216.13
168.77,5,0.22,0.01,136.94,0.03,0.0,19.25
173.91,7,2.68,0.24,1676.48,2.5,0.22,1560.33
179.08,6,0.02,0.0,11.01,2.13,0.18,1330.68
184.92,9,1.36,0.11,847.04,2.04,0.17,1274.29
190.89,9,2.11,0.18,1319.82,6.14,0.61,3836.89
196.17,10,1.04,0.08,652.3,1.68,0.14,1052.56
201.77,8,0.21,0.0,132.71,3.19,0.29,1993.69
206.88,9,0.55,0.03,343.84,2.79,0.25,1746.72
212.46,8,0.61,0.04,378.8,2.53,0.22,1581.23
217.9,7,1.09,0.08,681.59,2.83,0.25,1770.15
223.61,7,0.28,0.01,175.7,3.5,0.32,2186.3
228.67,8,0.78,0.06,488.23,3.11,0.28,1942.34
234.27,5,0.0,0.0,0.0,1.85,0.15,1154.14
240.46,6,0.45,0.03,279.19,0.9,0.07,560.81
246.72,5,0.32,0.01,202.0,0.0,0.0,0.0
251.97,7,2.47,0.21,1542.55,1.36,0.11,852.76
258.07,6,1.24,0.1,776.28,5.69,0.56,3553.36
264.33,6,2.61,0.23,1628.92,7.36,0.76,4602.34
270.08,5,0.32,0.01,200.01,0.32,0.01,203.09
275.79,5,0.3,0.01,188.21,0.17,0.0,105.09
281.77,5,0.11,0.0,71.21,0.35,0.02,218.53
287.29,5,0.28,0.01,174.01,0.3,0.01,190.54
292.56,5,0.48,0.03,302.54,0.7,0.05,439.95
298.93,5,0.16,0.0,97.24,0.0,0.0,0.0
304.36,6,0.68,0.05,425.91,1.1,0.08,690.26
309.97,5,0.32,0.01,202.06,0.5,0.03,312.31
315.08,4,0.17,0.0,103.96,0.21,0.0,130.39
320.17,5,0.1,0.0,65.07,0.28,0.01,175.26
326.42,5,0.12,0.0,72.02,0.28,0.01,175.74
331.75,5,0.38,0.02,239.02,0.54,0.03,339.95
336.93,13,3.77,0.35,2354.47,34.83,6.11,12500.0
342.64,5,0.03,0.0,17.71,0.37,0.02,229.9
348.64,5,0.5,0.03,315.27,0.27,0.01,171.63
354.09,5,0.52,0.03,322.77,2.05,0.17,1279.8
359.8,6,1.75,0.14,1094.9,0.53,0.03,333.1
366.13,6,0.37,0.02,233.69,1.36,0.11,847.67
372.04,5,1.21,0.09,756.09,0.21,0.0,131.36
378.1,5,0.25,0.01,156.13,0.34,0.02,215.54
383.35,5,0.79,0.06,490.74,0.22,0.01,138.99
388.71,4,0.28,0.01,172.57,0.0,0.0,0.0
394.49,6,0.38,0.02,236.97,7.18,0.74,4484.7
399.77,6,3.01,0.27,1880.19,0.77,0.05,480.8
405.41,6,1.23,0.1,769.55,1.99,0.17,1246.85
411.63,6,0.52,0.03,326.7,0.52,0.03,324.49
416.78,4,0.18,0.0,113.21,0.3,0.01,185.85
